Step;Description;Expected Result;Obtained Result;Duration;Evidence
1;Navigate to url: "https://piloto.bancaporinternetuat.interbank.com.pe/bpi-web-app/#/login";The page was successfully loaded;The page was successfully loaded;00:00:05;evidence/001_navigate.png
2;Type '4110740000080168' in the field 'creditcard';The field was successfully filled;The field was successfully filled;00:00:00;evidence/002_sendKeys.png
3;Click in '//*[@id='app']/div[2]/div/div[2]/div[1]/div/div[1]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/003_click.png
4;Click in '//*[@id='app']/div[1]/div/ul/li[*]/a/div/div[contains(text(), 'CE')]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/004_click.png
5;Type '352317' in the field 'idnumber';The field was successfully filled;The field was successfully filled;00:00:00;evidence/005_sendKeys.png
6;Click in 'valueToShow';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/006_click.png
7;Click in '//*[@id='app']/div[2]/div/div[4]/div/a[21]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/007_click.png
8;Click in '//*[@id='app']/div[2]/div/div[4]/div/a[2]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/008_click.png
9;Click in '//*[@id='app']/div[2]/div/div[4]/div/a[2]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/009_click.png
10;Click in '//*[@id='app']/div[2]/div/div[4]/div/a[2]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/0010_click.png
11;Click in '//*[@id='app']/div[2]/div/div[4]/div/a[2]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/0011_click.png
12;Click in '//*[@id='app']/div[2]/div/div[4]/div/a[2]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/0012_click.png
13;Click in '//*[@id='app']/div[2]/div/div[4]/div/a[2]';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/0013_click.png
14;Click in '//*[@id='app']/div[2]/div/div[6]/a';The object was successfully clicked;The object was successfully clicked;00:00:00;evidence/0014_click.png
15;Get the Text from '//*[@id='app']/div[3]/div/div/div/div/div[3]/p';The text is successfully retrieved;The text is not successfully retrieved;00:00:11;evidence/0015_getText.png
16;Do the action: isElementPresent(Action not mapped, call one of our test analysts to increase this library :) );The action is successfully made;The action could not be executed;00:00:00;N/A
17;Do the action: isElementPresent(Action not mapped, call one of our test analysts to increase this library :) );The action is successfully made;The action could not be executed;00:00:00;N/A
18;Click in '//*[@id='app']/div[3]/div/div/div/div/div[4]/div/div/button';The object was successfully clicked;The object could not be clicked;00:00:00;N/A
19;Do the action: refresh(Action not mapped, call one of our test analysts to increase this library :) );The action is successfully made;The action could not be executed;00:00:00;N/A
20;Do the action: deleteCookies(Action not mapped, call one of our test analysts to increase this library :) );The action is successfully made;The action could not be executed;00:00:00;N/A
